"organizaciones","n_mero_de_casoy_exenci_n","fecha_de_aprobadoo_denegado","fecha_de_efectividad","estatus"
"Asociación  de  Residentes  Calles  Números  (dos)  2,  (Tres)  3,  Y  (Tres-A),  de  la  Urbanización
Rexville, Inc.","96-1101(24)-377","10 de diciembre de 1996"," "," "
"Asociación de Residentes Ciudad Jardín, Inc.","03-1101 (23)-133","04 de junio de 2003","04 de junio de 2003"," "
"Asociación de Residentes Ciudad Señorial Inc"," ","05 de abril de 2005"," "," "
"Asociación de Residentes Comunidad Ciudad Jardín II, Inc.","96-1101(24)-202","12 de febrero de 1997"," "," "
"Asociación de Residentes Comunidad de Amoldadero, Inc.","10-1101 (6)-369","13 de enero de 2011","01 de enero de 2010"," "
"Asociación de Residentes Cond Mort Blanc","05-1101(23)-139","08 de mayo de 2006"," "," "
"Asociación de Residentes Condado y Caguas Norte I, Inc.","09-1101 (6)-301","6 de octubre de 2010","1 de enero de 2009"," "
"Asociación de Residentes Condominio Avila","2012-1101.01-524","25 de noviembre de 2013","24 de junio de 1976"," "
"Asociación de Residentes Condominio Colina Real","2012-1101.01-339","28 de octubre de 2013","16 de diciembre de 1992"," "
"Asociación de Residentes Condominio El Laurel","2012-1101.01-593","30 de septiembre de 2013","26 de diciembre de 2000"," "
"Asociación de Residentes Condominio La Sierra del Monte","2012-1101.01-581","19 de diciembre de 2013","1 de septiembre de 2001"," "
"Asociación de Residentes Condominio Marina de Boquerón","2012-1101.01-1208","10 de julio de 2015","17 de agosto de 2001"," "
"Asociación de Residentes Condominio Miramar Royal Towers","08-1101(23)-325","01 de enero de 2008"," "," "
"Asociación de Residentes Condominio Plaza Esmeralda","2012-1101.01-922","25 de agosto de 2014","1 de septiembre de 1999"," "
"Asociación de Residentes Condominio Town Village","08-1101(23)-164","17 de septiembre de 2008"," "," "
"Asociación de Residentes de Alamanda Inc","2015-1101.01-87","7 de abril de 2016","21 de octubre de 2014"," "
"Asociación de Residentes de Altamira, Inc.","08-1101(6)-153","17 de septiembre de 2008"," "," "
"Asociación de Residentes de Alturas de Covadonga Inc","2012-1101.01-786","5 de junio de 2014","10 de diciembre de 1987"," "
"Asociación de Residentes de Caguas Norte II Inc"," ","20 de diciembre de 2004"," "," "
"Asociación de Residentes de Cambridge Park Inc","2012-1101.01-547","28 de agosto de 2013","15 de enero de 1986"," "
"Asociación de Residentes de Ciudad Jardín de Gurabo I, Corp.","2012-1101.01-597","8 de noviembre de 2013","20 de junio de 2004"," "
"Asociación de Residentes de Ciudad Jardín de Gurabo II Corp","2012-1101.01-992","30 de junio de 2014","24 de enero de 2007"," "
"Asociación de Residentes de Ciudad Jardín de Juncos Inc","2012-1101.01-438","11 de julio de 2013","30 de marzo de 2011"," "
"Asociación de Residentes de Estancias del Verde, Inc.","10-1101 (23)-1","18 de agosto de 2010","01 de agosto de 2009"," "
"Asociación de Residentes de Estancias Río Hondo III, (A.R.D.E.R.), Inc.","2011-1101.01-211","20 de agosto de 2012","1 de enero de 2003"," "
"Asociación de Residentes de Finca Elena, Inc.","2010-1101(23)-417","20 de enero de 2012","01 de julio de 2010"," "
"Asociación de Residentes de Forest Plantation Inc","2013-1101.01-340","26 de agosto de 2015","1 de enero de 2013"," "
"Asociación de Residentes de Hacienda de Casa Blanca, Inc.","08-1101(23)-21","08 de agosto de 2008"," "," "
"Asociación de Residentes de Hacienda El Zorzal, Inc.","07-1101(23)-206","18 de enero de 2008"," "," "
"Asociación de Residentes de Hacienda Paloma II, Inc.","2012-1101.01-1281","4 de noviembre de 2013","1 de septiembre de 2011"," "
"Asociación de Residentes de Hacienda Real Inc","2012-1101.01-541","24 de diciembre de 2013","22 de mayo de 2002"," "
"Asociación de Residentes de Haciendas de Cabo Rojo, Inc.","08-1101(23)-324","01 de enero de 2008"," "," "
"Asociación de Residentes de Haciendas de Palmas, Inc.","96-1101(24)-32","16 de octubre de 1996"," "," "
"Asociación de Residentes de Haciendas del Monte Inc","2012-1101.01-1040","8 de abril de 2015","17 de enero de 1989"," "
"Asociación de Residentes de Jardín Central, Inc.","08-1101(23)-284","20 de noviembre de 2008"," "," "
"Asociación de Residentes de la Calle 209 Colinas Fairview, Inc.","96-1101(24)-466","13 de agosto de 1996"," "," "
"Asociacion de Residentes de la Calle Almendro Norte","98-1101(24)-271","14 de mayo de 1999"," "," "
"Asociación de Residentes de la Calle Glorimar de Jardines de Caldas Inc","2014-1101.01-35","16 de octubre de 2015","1 de enero de 2014"," "
"Asociación de Residentes de la Comunidad de Highland Park, Inc","99-1101(6)-268","10 de mayo de 2000"," "," "
"Asociación de Residentes de la I Sección de Country Club, Inc.","08-1101(6)-407","01 de enero de 2008"," "," "
"Asociación de Residentes de la Serranía, Inc.","07-1101(23)-328","07 de diciembre de 2007"," "," "
"Asociación de Residentes de la Urb Summit Hills Inc"," ","07 de septiembre de 2004"," "," "
"Asociación de Residentes de la Urb. Antigua Via, Inc.","97-1101(6)-256","26 de noviembre de 1997"," "," "
"Asociación de Residentes de la Urbanización Delgado (A.R.U.D.), Inc.","07-1101(6)-362","14 de diciembre de 2007"," "," "
"Asociación de Residentes de la Urbanización E.C.P., Inc.","96-1101(24)-335","16 de diciembre de 1996"," "," "
"Asociación de Residentes de la Urbanización El Dorado, Inc.","98-1101(24)-6","27 de mayo de 1998"," "," "
"Asociación de Residentes de la Urbanización El Monte de Ponce, PR Inc","2012-1101.01-472","20 de septiembre de 2013","28 de noviembre de 1988"," "
"Asociación de Residentes de la Urbanización El Retiro Inc","2012-1101.01-544","28 de febrero de 2014","11 de septiembre de 1980"," "
"Asociación de Residentes de la Urbanización Los Paisajes en Ciudad Jardín, Inc.","2012-1101.01-577","1 de noviembre de 2013","31 de enero de 2008"," "
"Asociación de Residentes de la Urbanización Mansiones de Alejandrino, Inc.","96-1101(24)-773","19 de diciembre de 1996"," "," "
"Asociación de Residentes de la Urbanización Monticielo Inc","2012-1101.01-773","21 de agosto de 2014","28 de julio de 2004"," "
"Asociación de Residentes de la Urbanización Quintas de Cabo Rojo Inc","2012-1101.01-886","20 de octubre de 2014","15 de diciembre de 1997"," "
"Asociación de Residentes de la Urbanización Quintas de Monserrate, Inc.","07-1101(23)-316","07 de abril de 2008"," "," "
"Asociación de Residentes de Landrau, Inc.","95-1101(24)-156","28 de diciembre de 1995"," "," "
"Asociación de Residentes de las Parcelas Falu, Inc","00-1101(6)-172","03 de noviembre de 2000"," "," "
"Asociación de Residentes de las Urbanizaciones Bonneville Heights II y Bonneville Valley, Inc.","2011-1101.01-125","23 de abril de 2012","01 de enero de 2011"," "
"Asociación de Residentes de las Urbanizaciones Reina de los Angeles y Monte Subasio, Inc.","06-1101(23)-425","21 de septiembre de 2007"," "," "
"Asociación de Residentes de Los Eucaliptos Inc","2012-1101.01-602","20 de septiembre de 2013","1 de agosto de 2006"," "
"Asociación de Residentes de Los Montes Inc","2012-1101.01-733","8 de octubre de 2014","30 de septiembre de 1998"," "
"Asociación de Residentes de los Pinos II (Arecibo), Inc.","06-1101(23)-389","30 de enero de 2007"," "," "
"Asociación de Residentes de Los Próceres de Corozal, Inc.","10-1101 (23)-186","28 de marzo de 2011","01 de enero de 2010"," "
"Asociación de Residentes de Los Sueños de Ciudad Jardín Inc","2012-1101.01-371","19 de junio de 2013","6 de octubre de 1992"," "
"Asociación de Residentes de Mansiones de los Artesanos, Inc.","07-1101(23)-220","14 de noviembre de 2007"," "," "
"Asociacion de Residentes de Mansiones de Rio  Piedras","00-1101(23)-91","26 de octubre de 2000"," "," "
"Asociación de Residentes de Mirabella Village & Club Inc","2012-1101.01-710","3 de junio de 2014","27 de marzo de 2007"," "
"Asociación de Residentes de Miramar, Inc.","101(7)","19 de enero de 1977"," "," "
"Asociación de Residentes de Monserrate-Ruiz Cerro Gordo, Inc.","09-1101 ( )-423","01 de julio de 2010"," ","Denegada"
"Asociación de Residentes de Monte Apolo Inc","2012-1101.01-1162","26 de enero de 2015","20 de septiembre de 1990"," "
"Asociación de Residentes de Montesol","2012-1101.01-935","23 de abril de 2015","28 de mayo de 2002"," "
"Asociación de Residentes de Paisaje de Dorado Inc","2013-1101.01-263","17 de febrero de 2016","15 de mayo de 2006"," "
"Asociacion de Residentes de Park Side,Inc","99-1101(24)-95","23 de septiembre de 1999"," "," "
"Asociación de Residentes de Parques de San Ignacio, Inc.","87-101(8)-39","30 de junio de 1987"," "," "
"Asociación de Residentes de Paseo Los Robles Inc","2012-1101.01-1207","22 de abril de 2015","1 de enero de 2012"," "
"Asociación de Residentes de Plata, Inc.","09-1101 (23)-103","20 de noviembre de 2009","01 de junio de 2008"," "
"Asociación de Residentes de Purple Tree","97-1101(24)-39","16 de julio de 1997"," "," "
"Asociacion de Residentes de Quintas de las Americas,Inc","97-1101(24)-295","29 de marzo de 2000"," "," "
"Asociación de Residentes de Reparto Valle Verde y Quintas de San Ramón, Inc.","10-1101 (23)-149","21 de enero de 2011","01 de enero de 2010"," "
"Asociación de Residentes de River Garden Inc","2012-1101.01-362","3 de febrero de 2014","10 de abril de 2003"," "
"Asociacion de Residentes de Sabanera del Rio, Inc","ç","10 de abril de 2000"," "," "
"Asociación de Residentes de Sabanera, Inc.","2010-1101(23)-212","22 de noviembre de 2011","01 de febrero de 2010"," "
"Asociación de Residentes de Santa Paula, Inc.","96-1101(24)-365","22 de julio de 1996"," "," "
"Balanced Life Ministries, Inc.","88-101(6)-84","20 de octubre de 1988"," "," "
"Asociación de Residentes de Terrazas de Borinquen, Inc.","08-1101(23)-299","23 de diciembre de 2008"," "," "
"Asociación de Residentes de Terrazas Demajagua Inc","2014-1101.01-227","2 de octubre de 2015","1 de enero de 2014"," "
"Asociación de Residentes de Town Park, Inc.","09-1101(23)-47","24 de abril de 2007"," "," "
"Asociación de Residentes de Urbanización Mansiones de España, Inc.","09-1101 (23)-90","30 de noviembre de 2009","01 de enero de 2009"," "
"Asociación de Residentes de Urbanización Paseo Los Corales II, Inc.","07-1101(23)-215","28 de septiembre de 2007"," "," "
"Asociación de Residentes de Urbanización Vista Real de Yauco, Inc.","07-1101(23)-450","07 de abril de 2008"," "," "
"Asociación de Residentes de Valle de San Luis Morovis, Inc.","2011-1101.01-26","08 de noviembre de 2011","01 de enero de 2011"," "
"Asociación de Residentes de Valle Escondido Inc","2013-1101.01-252","26 de agosto de 2015","1 de enero de 2013"," "
"Asociación de Residentes de Valles de Santa Olaya, Inc.","09-1101 (23)-365","26 de febrero de 2010","07 de marzo de 2007"," "
"Asociacion de Residentes de Venus Gardens, Inc","00-1101(6)-208","02 de abril de 2001"," "," "
"Asociación de Residentes de Veredas de Gurabo, Inc.","09-1101 (23)-288","10 de septiembre de 2010","01 de enero de 2009"," "
"Asociación de Residentes de Villas de Laurel II, Inc.","10-1101 (23)-321","23 de febrero de 2011","01 de enero de 2010"," "
"Asociación de Residentes de Villas de Laurel, Inc.","2011-1101.01-464","20 de agosto de 2012","19 de mayo de 2003"," "
"Asociación de Residentes de Villas del Señorial","96-1101(24)-323","09 de enero de 1997"," "," "
"Asociación de Residentes del Condominio Costa Dorada","07-1101(23)-112","16 de enero de 2008"," "," "
"Asociación de Residentes del Reparto El Trapiche (ARRET), Inc.","97-1101(24)-336","02 de julio de 1998"," "," "
"Asociación de Residentes del Sector El Cinco Abajo, Inc.","2011-1101.01-236","09 de marzo de 2012","01 de enero de 2011"," "
"Asociación de Residentes del Vedado, Inc.","96-1101(6)-378","25 de marzo de 1997"," "," "
"Asociación de Residentes El Paraíso Oeste (ARP)"," ","07 de abril de 2005"," "," "
"Asociación de Residentes Golden View Plaza","2012-1101.01-1178","26 de noviembre de 2014","24 de diciembre de 1997"," "
"Asociación de Residentes Hacienda Vistas del Plata, Inc.","2014-1101.01-169","20 de noviembre de 2015","1 de mayo de 2014"," "
"Asociación de Residentes Idamaris Gardens, Inc.","06-1101(6)-439","13 de febrero de 2008"," "," "
"Asociación de Residentes La Sierra del Río, Inc.","09-1101 (23)-163","26 de abril de 2010","01 de enero de 2009"," "
"Asociación de Residentes Los Versalles, Inc.","08-1101(23)-410","29 de mayo de 2009"," "," "
"Asociación de Residentes Luchetti 1212","08-1101(23)-188","16 de septiembre de 2008"," "," "
"Asociación de Residentes Mansión Real Inc","2013-1101.01-187","26 de enero de 2015","1 de enero de 2013"," "
"Asociación de Residentes Mansiones de Puerto Galexda, Inc.","2011-1101.01-457","1 de octubre de 2012","18 de noviembre de 2009"," "
"Asociación de Residentes Mansiones de San Martín, Inc.","06-1101(23)-328","01 de febrero de 2008"," "," "
"Asociación de Residentes Matiz de Ciudad Jardín de Gurabo Resort & Country Club Corp","2012-1101.01-611","17 de octubre de 2013","24 de enero de 2007"," "
"Asociación de Residentes Monte Sereno Inc","2012-1101.01-246","10 de febrero de 2014","12 de abril de 2007"," "
"Asociacion de Residentes Nuevas Villas de Manati,Inc","00-1101(23)-52","17 de noviembre de 2000"," "," "
"Asociación de Residentes Paraíso de Carolina Inc","2011-1101.01-421","4 de abril de 2013","5 de abril de 2002"," "
"Asociación de Residentes Paraíso de Gurabo Inc","2012-1101.01-708","19 de junio de 2014","15 de noviembre de 2000"," "
"Asociación de Residentes Paraíso de Mayaguez Inc","2012-1101.01-350","17 de junio de 2013","10 de abril de 2003"," "
"Asociación de Residentes Parque de Candelero Inc","2012-1101.01-783","4 de noviembre de 2014","16 de agosto de 2004"," "
"Asociación de Residentes Parque de Cupey, Corp.","09-1101 (23)-198","23 de noviembre de 2009","01 de julio de 2008"," "
"Asociación de Residentes Parque Montebello Corp","2014-1101.01-209","14 de marzo de 2016","10 de octubre de 1989"," "
"Asociación de Residentes Plaza Antillana","2012-1101.01-1203","7 de abril de 2015","8 de mayo de 1995"," "
"Asociación de Residentes Portal del Sol","2010-1101 (23)-427","10 de abril de 2012","20 de marzo de 2009"," "
"Asociación de Residentes Pro-Control de Acceso Urb. Colinas de Guaynabo, Inc.","96-1101(24)-336","16 de octubre de 1996"," "," "
"Asociación de Residentes Propietarios de Portal del Sol, Inc.","06-1101(23)-370","05 de noviembre de 2007"," "," "
"Asociación de Residentes Quintas del Bambú, Inc.","06-1101(23)-436","09 de noviembre de 2007"," "," "
"Asociación de Residentes River Valley Inc"," ","07 de enero de 2004"," "," "
"Asociación de Residentes Round Hill, Inc.","2012-1101.01-1016","08 de diciembre de 2014","03 de marzo de 1993"," "
"Asociación de Residentes San Juan View, Corp.","10-1101 (23)-453","17 de marzo de 2011","28 de octubre de 2010"," "
"Asociación de Residentes San Martín Twin Towers I-II, Inc.","96-1101(24)-527","16 de diciembre de 1996"," "," "
"Asociación de Residentes San Patricio Meadows, Inc.","96-1101(24)-447","11 de diciembre de 1996"," "," "
"Asociación de Residentes Sector Las Piñas 3 Inc","2011-1101.01-451","20 de noviembre de 2012","11 de febrero de 2003"," "
"Asociación de Residentes Torre Ponce de León","2015-1101.01-45","28 de septiembre de 2016","2 de enero de 2014"," "
"Asociación de Residentes Urb Luna Llena Inc"," ","23 de julio de 2004"," "," "
"Asociación de Residentes Urb Monte Sol - Juana Díaz Inc","2012-1101.01-1164","26 de enero de 2015","10 de febrero de 2000"," "
"Asociación de Residentes Urb Sagrado Corazón","02-1101( )-361","07 de enero de 2004"," "," "
"Asociación de Residentes Urb Santa Cecilia, Inc.","08-1101 (23)-92","07 de febrero de 2011","01 de enero de 2008"," "
"Asociación de Residentes Urb Valle Forestal Inc","2011-1101.01-238","31 de agosto de 2012","12 de mayo de 2010"," "
"Asociacion de Residentes Urb. Las Gaviotas,Inc","00-1101(23)-124","19 de septiembre de 2000"," "," "
"Asociación de Residentes Urbanización Adoquines Corp","2012-1101.01-270","12 de abril de 2013","11 de octubre de 2011"," "
"Asociación de Residentes Urbanización Coamo Paseo Real Inc","2015-1101.01-268","20 de enero de 2017","1 de enero de 2015"," "
"Asociación de Residentes Urbanización Estancias de Sierra Maestra, Inc.","10-1101 (23)-76","8 de octubre de 2010","30 de noviembre de 2009"," "
"Asociación de Residentes Urbanización Las Quintas Inc","2014-1101.01-342","9 de febrero de 2016","17 de enero de 2004"," "
"Asociacion de Residentes Urbanización Madelaine","99-1101(24)-108","21 de diciembre de 1999"," "," "
"Asociación de Residentes Urbanización Monte Olimpo y Extensión Monte Olimpo, Inc.","07-1101(23)-371","14 de diciembre de 2007"," "," "
"Asociación de Residentes Valle San Luis, Inc.","09-1101 (23)-238","15 de enero de 2010","26 de mayo de 2009"," "
"Asociación de Residentes Vecinos del Parque de Balompié de Country Club 2da Ext., Inc.","10-1101 (6)-339","08 de marzo de 2011","10 de febrero de 2010"," "
"Asociación de Residentes Villa Guadalupe, Inc.","08-1101(6)-056","02 de junio de 2008"," "," "
"Asociación de Residentes Villas del Sol","2012-1101.01-953","21 de abril de 2015","20 de diciembre de 2001"," "
"Asociación de Residentes Vistalago, Inc.","2012-1101.01-574","1 de noviembre de 2013","13 de junio de 2008"," "
"Asociación de Residentes Vistas del Rio Las Piedras Corp","2012-1101.01-907","10 de julio de 2015","10 de junio de 2010"," "
"Asociación de Residentes y Recreativa Barrazas y Cedros, Inc.","07-1101(6)-205","17 de diciembre de 2007"," "," "
"Asociacion de Residentes y Vecinos de Rooselvelt, Inc","99-1101(24)-259","29 de marzo de 2000"," "," "
"Asociación de Residentesde Vista Bella, Inc.","96-1101(24)-324","13 de agosto de 1996"," "," "
"Asociacion de Residentes-UrbSan Agustin,Inc","99-1101(24)-201","10 de noviembre de 1999"," "," "
"Asociación de Restaurantes de Puerto Rico, Inc.","06-1101(5)-142","15 de diciembre de 2006"," "," "
"Asociación de Retirados de la Guardia Nacional de  Puerto Rico Capítulode Guayama Incorporado","97-1101(6)-70","13 de noviembre de 1997"," "," "
"Asociación de Retirados del 65TH Inf y Veteranos de las Fuerzas Armadas de los EE UU Inc","2012-1101.01-1018","20 de marzo de 2015","1 de enero de 2012"," "
"Asociación de Reumatólogos de Puerto Rico Inc","2013-1101.01-221","21 de agosto de 2015","1 de enero de 2013"," "
"Asociación de Salud Educación  Física y Recreación   de Puerto Rico, Inc.","84-101(6)-42","06 de septiembre de 1984"," "," "
"Asociación de Salud Pública de Puerto Rico","101(  )","12 de julio de 1968"," "," "
"Asociación de Seguridad, Policías y Ramas Anexas, Inc.","2012-1101.01-1225","09 de enero de 2015","22 de octubre de 2010"," "
"Asociación de Señoras Damas del Santo Asilo de Ponce"," ","13 de abril de 1956"," "," "
"Asociación de Servicios de  la Universidad Católica de Puerto Rico","101(6)","19 de junio de 1980"," "," "
"Asociación de Servicios Médicos-hospitalarios de Yauco Inc.","101(1)","05 de septiembre de 1980"," "," "
"Asociación de Softball Boomer's de Puerto Rico Inc","2013-1101.01-147","21 de abril de 2015","1 de enero de 2013"," "
"Asociación de Softball Femenino de Maunabo, Inc.","08-1101(6)-163","12 de septiembre de 2008"," "," "
"Asociación de SolterosProfesionales y de Negocios Inc.","93-101(6)-122","02 de noviembre de 1993"," "," "
"Asociación de Sordos Universitarios, Inc.","97-1101(4)-158","03 de julio de 1997"," "," "
"Asociación de Técnicos Azucareros de Puerto Rico","101(6)","21 de abril de 1972"," "," "
"Asociación de Técnicos Quirúrgicos de Puerto Rico Inc","2014-1101.01-100","23 de octubre de 2015","1 de enero de 2014"," "
"Asociación de Tenis en Silla de Ruedas, Inc.","09-1101 (6)-66","02 de febrero de 2010","01 de enero de 2009"," "
"Asociacion de Tenis Fair View,Inc","99-1101(6)-181","05 de octubre de 1999"," "," "
"Asociacion de Tenis Isabela, Inc","00-1101(6)-93","01 de noviembre de 2000"," "," "
"Asociación de Terapistas  Ocupacionales de Puerto Rico, Inc.","89-101(7)-417","05 de abril de 1990"," "," "
"Asociación de Tiro Sobre Silla de Ruedas de Puerto Rico, Inc.","89-101(6)-72","29 de agosto de 1989"," "," "
"Asociación de Titulares  Condominio La Sierra del Sol","97-1101(24)-327","11 de junio de 1998"," "," "
"Asociación de Titulares Cond. Los Corales","2012-1101.01-765","30 de mayo de 2014","14 de mayo de 1969"," "
"Asociación de Titulares Condominio Amapola 14","2011-1101.01-444","17 de enero de 2013","1 de enero de 2011"," "
"Asociación de Titulares Condominio Ashford Tower","2011-1101.01-442","6 de febrero de 2013"," ","Denegada"
"Bridges for Health, Inc.","08-1101(4)-310","01 de julio de 2008"," "," "
"Asociación de Titulares Condominio Atlantic Court","2012-1101.01-1159","12 de septiembre de 2014","30 de enero de 2007"," "
"Asociación de Titulares Condominio Balcones de Monte Real","06-1101(23)-40","24 de octubre de 2007"," "," "
"Asociación de Titulares Condominio Baldorioty Gardens","2011-1101.01-432","21 de agosto de 2012","18 de octubre de 1968"," "
"Asociación de Titulares Condominio Caribbean Sea View","2012-1101.01-561","28 de octubre de 2013","6 de marzo de 1998"," "
"Asociación de Titulares Condominio Carrión Court 5","2012-1101.01-719","23 de abril de 2014","7 de enero de 1992"," "
"Asociación de Titulares Condominio Casa Blanca","2012-1101.01-1156","4 de enero de 2016","1 de enero de 2012"," "
"Asociación de Titulares Condominio Covadonga","2011-1101.01-496","17 de enero de 2013","1 de enero de 2011"," "
"Asociación de Titulares Condominio Del Mar","2012-1101.01-1190","19 de febrero de 2015","26 de agosto de 1991"," "
"Asociación de Titulares Condominio El Laurel","2011-1101.01-399","18 de junio de 2012","20 de marzo de 1961"," "
"Asociación de Titulares Condominio España","2012-1101.01-785","10 de septiembre de 2014","1 de enero de 2012"," "
"Asociación de Titulares Condominio Fontainebleu Village","2012-1101.01-1188","6 de octubre de 2014","14 de octubre de 1998"," "
"Asociación de Titulares Condominio La Rada","2012-1101.01-1011","10 de diciembre de 2014","01 de enero de 2012"," "
"Asociación de Titulares Condominio Las Cumbres Gardens","99-1101(24)-14","06 de julio de 1999"," "," "
"Asociación de Titulares Condominio Les Jardins","2012-1101.01-1076","25 de agosto de 2014","31 de octubre de 2004"," "
"Asociación de Titulares Condominio Lores","2012-1101.01-1155","25 de agosto de 2014","5 de mayo de 1970"," "
"Asociación de Titulares Condominio Los Felices","2011-1101.01-415","21 de agosto de 2012","19 de mayo de 1967"," "
"Asociación de Titulares Condominio Miramar 656","2011-1101.01-383","21 de agosto de 2012","8 de mayo de 1962"," "
"Asociación de Titulares Condominio Miramar Towers","2011-1101.01-484","28 de enero de 2013","1 de enero de 2011"," "
"Asociación de Titulares Condominio Ocean Park","2011-1101.01-416","18 de junio de 2012","6 de mayo de 1967"," "
"Asociación de Titulares Condominio Paseo del Bosque","2011-1101.01-359","6 de diciembre de 2012","11 de octubre de 2004"," "
"Asociación de Titulares Condominio Puerto Dorado","2015-1101.01-118","24 de enero de 2017","1 de enero de 2007"," "
"Asociación de Titulares Condominio Rexville Park","2012-1101.01-418","4 de diciembre de 2013","10 de julio de 1996"," "
"Asociación de Titulares Condominio San Ignacio","2012-1101.01-456","16 de septiembre de 2013","5 de marzo de 1975"," "
"Asociación de Titulares Condominio Santa Ana","2011-1101.01-482","17 de diciembre de 2012","1 de enero de 2011"," "
"Asociación de Titulares Condominio Sun & Sea Village","2012-1101.01-1000","25 de agosto de 2014","3 de julio de 2000"," "
"Asociacion de Titulares de Estancias del Golf Club","02-1101(23)-59","01 de agosto de 2002"," "," "
"Asociación de Titulares de la Urbanización Las Terrenas Corp","2014-1101.01-179","9 de noviembre de 2015","1 de julio de 2013"," "
"Asociación de Titulares de la Urbanización Velomas Inc","2012-1101.01-623","2 de diciembre de 2013","24 de febrero de 2006"," "
"Asociación de Titulares del Condominio Andalucía","2013-1101.01-213","19 de octubre de 2015","1 de enero de 2013"," "
"Asociación de Titulares del Condominio Castillo del Mar","2012-1101.01-938","18 de agosto de 2014","16 de diciembre de 1974"," "
"Asociación de Titulares del Condominio Condesa del Mar","2012-1101.01-358","24 de junio de 2013","28 de agosto de 1986"," "
"Asociación de Titulares del Condominio Francia","2012-1101.01-447","11 de julio de 2013","12 de noviembre de 1992"," "
"Asociación de Titulares del Condominio Gran Royale","2012-1101.01-585","23 de septiembre de 2013","1 de octubre de 2006"," "
"Asociación de Titulares del Condominio Playa Blanca","97-1101(24)-196","29 de agosto de 1997"," "," "
"Asociación de Titulares del Condominio Playa Dorada","2012-1101.01-882","15 de septiembre de 2014","1 de octubre de 1987"," "
"Asociación de Titulares del Condominio Quantum Metrocenter Inc","2014-1101.01-328","7 de diciembre de 2015","15 de julio de 2014"," "
"Asociación de Titulares del Condominio Rio Mar Village","2012-1101.01-1196","9 de julio de 2015","7 de junio de 2002"," "
"Asociación de Titulares del Condominio Vistas de Panorama","2012-1101.01-1205","5 de noviembre de 2015","1 de marzo de 1999"," "
"Asociación de Titulares del Peñón de Tallaboa, Inc.","96-1101(24)-271","26 de junio de 1997"," "," "
"Asociación de Trabajadores de la Industrial de la Aguja del Noroeste, Inc.","96-1101(6)-162","10 de mayo de 1996"," "," "
"Asociación de Trabajadores e   Incapacitados No rehabilitadosde Puerto Rico, Inc.","101(6)","02 de junio de 1980"," "," "
"Asociación de Turistas Olímpicos de Puerto Rico, Inc.","08-1101( )-225","26 de marzo de 2009"," ","Denegada"
"Asociacion de Vecinos  de Milaville Garcia, Inc","99-1101()-127","01 de octubre de 1999"," "," "
"Asociacion de Vecinos de  Jardines de Romany Calle B,Inc","00-1101(23)-69","28 de diciembre de 2000"," "," "
"Asociación de Vecinos de la Urbanización el Paraíso, Inc.","96-1101(24)-727","21 de febrero de 1997"," "," "
"Asociación de Vecinos de la Urbanización Extensión Alhambra Inc","2012-1101.01-619","3 de febrero de 2014","13 de abril de 1992"," "
"Asociación de Vecinos de las Calles 50, 51 y 52 de Villa Carolina, Inc.","09-1101(23)-339","07 de septiembre de 2011","01 de enero de 2009"," "
"Asociación de Vecinos Pro Calidad de Vida, Inc. (AVECAVI)","10-1101 (6)-15","28 de abril de 2010","01 de enero de 2010"," "
"Asociación de Veteranos de la Policía de Puerto Rico, Inc.","96-1101(6)-33","30 de mayo de 1996"," "," "
"Asociación de Vivienda de Interés Social de PR Inc","2012-1101.01-167","21 de mayo de 2013"," ","Denegada"
"Asociacion deComerciantes UnidosDe Camuy,Inc","02-1101 (4)-3","25 de marzo de 2003"," "," "
"Asociación Defensa del Envejeciente Puertorriqueño, Inc.-","96-1101(6)-163","06 de septiembre de 1996"," "," "
"Asociación del Condominio el Duero","2011-1101.01-455","10 de febrero de 2014","1 de enero de 2011"," "
"Asociación Deportiva de Volleyball,  Pista y Campo Turista de Luquillo, Inc.","09-1101 (6)-131","13 de abril de 2010","01 de enero de 2009"," "
"Asociación Deportiva Los Artesanos Doble ""A"" de Las Piedras, Inc.","06-1101(6)-125","14 de diciembre de 2006"," "," "
