"corpname","corpregisterindex","bestatus","corpclasstype","corporationtype","corporationjurisdictiontype","physicalcitycorp","physicalstatecorp","fullnameagent","fullnameofficer1","fullnameofficer2"
"LAS MONJITAS MEDICAL CENTER, P.S.C.","6304-711","ACTIVA","Corporación Profesional","Con Fines de Lucro","Doméstica","Ponce","PR","Jofgrek Oliveras","Jofrek Oliveras","Jofgrek Oliveras"
"IGLESIA HERALDOS DE CRISTO, INC.","2912-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"SANTA CRUZ BEHAVIORAL P.S.C.","3536-711","ACTIVA","Corporación Profesional","Con Fines de Lucro","Doméstica","BAYAMON","PR","WILLIAM JULIO","KAREN PUJALS","WILLIAM JULIO"
"AGRUPACION MUSICAL KAIROS, INC.","50766-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","San Juan","PR",,,
"B & H RESIDENCE PROPERTY  LIMITED LIABILITY COMPANY","386116-1512","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Foránea","SAN JUAN","PR",,"Helen Farrell","Wesley Farrell"
"THE DJ'S COMP PUERTO RICO LLC","389487-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","BAYAMON","PR","Harry Peña","Gustavo Cruz","Harry Peña"
"ABBA  CORP.","386172-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","CAROLINA","PR","Juan A Trigo","Juan A Trigo","Juan A Trigo"
"LUXPASSIM FOUNDATION INC.","386585-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","AGUADA","PR","Victor J Rivera",,
"MINISTERIO VEN A LA CASA DEL ALFARERO INC.","51574-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Bayamón","PR",,,
"IGLESIA CRISTIANA PENTECOSTAL DE JACANAS, INC.","17539-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"NATURAL LIFE CENTER PR CORP.","385550-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","SAN SEBASTIAN","PR","CARLOS I VILLAHERMOSA","CARLOS I VILLAHERMOSA","LUZ D CRUZ"
"FARMACIA PLAZA ALTA INC.","118771-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","GUAYNABO","PR","Leida  Ortiz","Leida  Ortiz","Leida  Ortiz"
"IGLESIA PENTECOSTAL AL SERVICIO DE DIOS EL SALVADOR INC.","49295-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Patillas","PR",,,
"MINISTERIO AYUDA AL NECESITADO DEL SUR INC.","42530-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"MIGRACIONES DIGITALES INC.","387026-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","SAN JUAN","PR","Elma Beatriz Rosado","Elma Beatriz Rosado","Elma Beatriz Rosado"
"PRIMERA IGLESIA BAUTISTA OASIS DE BENDICION DE VILLA FONTANA, INC.","13619-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"UNA CONFERENCE  INC.","389750-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","TOA BAJA","PR","Angel I Serrano","Olga E Mercado","Angel I Serrano"
"SFYRI, LLC","300084-1531","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","Hatillo","PR",,,
"DIVINE GRACE MINISTRY INC.","51365-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Arecibo","PR",,,
"CAMINO AL CIELO BENDICIENDO AL CAIDO, INC.","314795-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Arecibo","PR","Sonia M Velazquez","Ismael Hernandez",
"ROMAN TORO PROFESSIONAL BUILDING, INC.","138632-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","PONCE","PR","RUBEN ROMAN","RUBEN ROMAN","HAYDEE VAZQUEZ"
"FARMACIA COOPERATIVA ARECIBEA","436-221","ACTIVA","Cooperativa de Ahorro Y Crédito","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"BREAD OF LIFE MINISTRY  INC.","333242-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Fajardo","PR","Leslie M Duprey","Vanessa Cordero","Miosoty Mendez"
"FIRECROSS MINISTRY, INC.","32753-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"ASOCIACIN DE RESIDENTES DE ESTANCIAS TALAVERA III INC.","337982-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Isabela","PR","Hector J Cardona","HECTOR J CARDONA","HECTOR J CARDONA"
"COMITIUM NTRA. SRA. DE LA CANDELARIA DE MANATI, CORPORATION","300918-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Manati","PR","Aida R Alvarez","Aida R Alvarez",
"CUPEY BOWLING AND ENTERTAINMENT CENTER INC.","111501-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","San Juan","PR","DIEGO CARDIN","NYDIA DIAZ","NYDIA DIAZ"
"EL MONTE TOWN CENTER, LLC","326069-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","Guaynabo","PR","Mariana A. Ortiz","Jacobo Ortiz","Juan C. Ruaño"
"MINISTERIO SHALOM ADONAI INC.","60130-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Carolina","PR",,,
"INNOVATION ARTS, CORP.","183623-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","SAN JUAN","PR","JESUS OCAMPO","JESUS OCAMPO","JESUS OCAMPO"
"MOVIMIENTO INTERNACIONAL SALUD Y EVANGELISMO CORP.","59462-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Caguas","PR",,,
"PREPPY REBEL FILMS CORPORATION","391755-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","BAYAMON","PR","Jennifer Vanessa Becerril","Jennifer Vanessa Becerril",
"MINISTERIO LOS YUGOS SE PUDREN, CAMINO A GILGAL, INC.","63004-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Fajardo","PR",,,
"BORDADOS MARIM INC.","199927-1011","ACTIVA","Corporación Intima","Con Fines de Lucro","Doméstica","GURABO","PR","Maria M Calderin","MARIA M CALDERIN","MARIA M CALDERIN"
"FIGALI JEWELRY, INC.","170706-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","Guayama","PR","RAFAEL FIGUEROA","Mirta Viana","Rafael  Figueroa"
"BOQUERON COUNTRY CLUB, INC.","55052-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Cabo Rojo","PR","GERALDINE POU","ELOISA VALLADARES","GERALDINE POE"
"ZULMAR LLC","346228-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","San Juan","PR","Ricardo L. Ramos","Ricardo L. Ramos","Eugene Hestres"
"HEALTH 4 LIFE PLAZA CENTRO, LLC","3602-1531","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","Caguas","PR",,,
"IGLESIA PENTECOSTAL DINAMITANDO LAS TINIEBLAS INC.","58884-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Ceiba","PR",,,
"ABRAZANDO AL TEATRO INC.","391652-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","JUANA DIAZ","PR","Sonia N. Malavet","Sonia N. Malavet",
"SEGUNDA IGLESIA CRISTIANA PENTECOSTAL LIBERACION EN CRISTO INC.","57633-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","JUANA DIAZ","PR",,,
"MINISTERIO ARDIENDO BAJO EL PODER DE DIOS INC.","328242-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Peñuelas","PR","Yarie M Quintana","Yarie M Quintana",
"CONGREGACION MONTE VERDE DE LOS TESTIGOS DE JEHOVA INC.","33661-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"IGLESIA REMANENTE FIEL DE LAS PIEDRAS INC.","37428-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"CENTRO DE RESTAURACION FAMILIAR, INC.","37639-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"COOPERATIVA DE VIVIENDASZ VILLA ELEANOR ROOSEVELT","270-221","ACTIVA","Cooperativa de Ahorro Y Crédito","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"TOMAC GROUP, LLC","330328-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","Guaynabo","PR","Evelyn Collazo",,
"AVCI GUANICA , INC.","60432-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","SABANA GRANDE","PR","LISANDRO  ORTIZ","LISANDRO ORTIZ","LISANDRO ORTIZ"
"ME UNGIO DIOS INC.","345206-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Cidra","PR","BRENDA Y DIAZ",,
"INSTITUTO DE SALUD Y EDUCACION DEL CARIBE INC.","391676-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","GURABO","PR","Janet M Rivera","Ivelisse Lopez","Janet M Rivera"
"IGLESIA PENTECOSTAL HODAH; ESTA VEZ ALABARE A JEHOVA INC.","28715-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"REAL PHYSICS INC.","177356-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","SAN JUAN","PR","Pedro Torres","Pedro Torres","Pedro Torres"
"JUEYERAS VOLLEYBALL  INC.","391861-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","ENSENADA","PR","Roberto Rodriguez","Roberto Rodriguez","Mairim R Caraballo"
"TEAM OB-GYN,  PSC","332200-711","ACTIVA","Corporación Profesional","Con Fines de Lucro","Doméstica","Manati","PR","José L Ortíz","JOSE L ORTIZ","JOSE L ORTIZ"
"IGLESIA PENTECOSTAL EFESIOS 6:13, INC.","59762-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","San Juan","PR",,,
"CHURCH EXTENSION PLAN","267-122","ACTIVA","Corporación","Sin Fines de Lucro","Foránea","San Juan","PR",,,
"ARSFC INC.","57386-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","BAYAMON","PR","ALBERTO SANTIAGO","ALBERTO SANTIAGO","ALBERTO SANTIAGO"
"IGLESIA VIDA EN LA FE INC.","339294-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Caguas","PR","Efraín Santiago","Carmarié Santiago","Amarilis López"
"IGLESIA DE DIOS SANTIDAD A JEHOVA , INC.","323783-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","MOCA","PR","MARGARO HERNANDEZ",,
"SISTEMAS MODULARES SISTEMATICOS LLC","386300-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","CAROLINA","PR","CARLOS LASALDE","CARLOS LASALDE","CARLOS LASALDE"
"IGLESIA PENTECOSTAL MONTE ROCA, INC.","314264-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Carolina","PR","Marina A Sanchez","Marina A Sanchez",
"DL FAMILY LLC","387501-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","DORADO","PR","Fernando Descartes",,
"MAGIC WORLD EDUCATIONAL CENTER INC.","347076-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Trujillo Alto","PR","Carmen C Cortés","Carmen C Cortés",
"IGLESIA MISIONERA LA MANO DE JEHOV DE RESTAURACIN Y ADORACIN INC.","60399-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Juncos","PR",,,
"SC SOLUTIONS LLC","391236-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","SAN JUAN","PR","Scott Alan Cicoli",,
"R. E. P. SOLER & ASSOCIATES, INC.","92021-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","San Juan","PR","Susan Brown Pierce","Raul E Peñagaricano","Susan Brown"
"ALPROEM ENGINEERING SERVICES, P.S.C.","285-711","ACTIVA","Corporación Profesional","Con Fines de Lucro","Doméstica","BAYAMON","PR","LUIS  E RAMIREZ","LUIS E RAMIREZ","LUIS E RAMIREZ"
"MPL MAXILLOFACIAL SURGERY P.S.C.","6278-711","ACTIVA","Corporación Profesional","Con Fines de Lucro","Doméstica","SAN SEBASTIAN","PR","Miguel Pastrana","MIGUEL PASTRANA","MIGUEL PASTRANA"
"IGLESIA CRISTIANA DE RESTAURACION LA ULTIMA COSECHA INC.","42735-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"HYGREEN FISHY COMPANY, CORP.","310026-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Juncos","PR",,"Hector Lee","Jose Daniel Santiago"
"CITIZENS OF MASTERY LLC","390672-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","ISABELA","PR","LOREANA S GONZALEZ LAZZARINI","LOREANA S GONZALEZ LAZZARINI",
"COOPERATIVA JUVENIL ESCOLAR DE SERVICIOS MLTIPLES ESPECIAL COOP","206-1321","ACTIVA","Cooperativa Juvenil","Sin Fines de Lucro","Doméstica","Rio Grande","PR",,,
"IGLESIA DE AVIVAMIENTO MANANTIAL DE VIDA A/D INC.","52984-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Moca","PR",,,
"ASOCIACION DE RESIDENTES VILLA GUADALUPE INC.","35114-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Caguas","PR","Joseph Figueroa","Joseph Figueroa","Miguel Otero"
"FESTIVAL GASTRONOMICO DEL NORESTE, INC.","307871-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Canovanas","PR","Esteban Troche",,
"CAFETERIA COOPERATIVA OBRAS PUBLICAS","246-221","ACTIVA","Cooperativa de Ahorro Y Crédito","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"MINISTERIO PIEDRA PRECIOSA INC.","54692-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","San Sebastián","PR",,,
"IGLESIA CRISTIANA EL ALFARERO, INC.","302445-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Cabo Rojo","PR","Iván Irizarry","Iván Irizarry",
"SOCIEDAD SINERGIA, CORP.","51304-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Humacao","PR","Enrique  Toledo","David  Carrasquillo","Enrique  Toledo"
"CONGREGACIN PERCHAS DE LOS TESTIGOS DE JEHOV INC.","53457-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Lares","PR",,,
"GLOBAL WORKS LLC","387441-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","SAN JUAN","PR","Jose Carlos Puente","Jose Carlos Puente","Jose Carlos Puente"
"HAMELIN PEST CONTROL LLC","329519-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","DORADO","PR","REINALDO A SANCHEZ","REINALDO A SANCHEZ","REINALDO A SANCHEZ"
"JFS CAR RENTAL L.L.C.","390362-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","AGUADA","PR","JOANSET FELICIANO","JOANSET FELICIANO","JOANSET FELICIANO"
"MINISTERIO DE AMOR BENDICIENDO LA FAMILIA INC.","346190-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Caguas","PR","Herbie Martinez","Herbie Martinez",
"PROGRESSIVE CASUALTY INSURANCE COMPANY","187-412","ACTIVA","Compañía de Seguros","Con Fines de Lucro","Foránea","Unknown","NO DISPONIBLE",,,
"PROYECTO ADOPTA UN REY INC.","57798-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Toa Baja","PR",,,
"ADVANCED LEGAL GROUP PSC","389796-711","ACTIVA","Corporación Profesional","Con Fines de Lucro","Doméstica","SAINT JUST","PR","Juan M. Joaquin",,
"MONSTER MOUNTAIN BIKE TEAM CORPORACIN","386855-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","AGUADILLA","PR","JOSE A ROMAN","JOSE A ROMAN",
"COOPERATIVA DE AHORRO Y CREDITO DE LOS EMPLEADOS DE LA AUTORIDAD DE LOS PUERTOS Y LA AUTOR","71-221","ACTIVA","Cooperativa de Ahorro Y Crédito","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"IGLESIA CATOLICA CARISMATICA SANTA ELENA, INC.","16801-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"COOPERATIVA JUVENIL ESCOLAR DAME UNA SONRISA","94-1321","ACTIVA","Cooperativa Juvenil","Sin Fines de Lucro","Doméstica","San Juan","PR",,,
"IGLESIA EVANGELICA PENTECOSTAL UNIDA DE CANDLERO DE ORO, INC.","27861-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"HR HOLDING COMPANY, INC","146147-1011","ACTIVA","Corporación Intima","Con Fines de Lucro","Doméstica","RIO PIEDRAS","PR","Heli E. Rivera","ANGEL A CRESPO","ANGEL A CRESPO"
"INSTITUTO PARA LAS OBRAS DE LA FE, INC.","302821-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Ponce","PR",,,
"BIZCOCHOS JOYLYS INC.","180661-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","Humacao","PR","Efrain E Delgado","Carmen L Figueroa","Carmen L Figueroa"
"RIVROD, CORP.","179289-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","TRUJILLO ALTO","PR","Iris Rivera","IRIS  RIVERA","CARLOS  RODRÍGUEZ"
"ACONCAGUA INVESTMENT, LLC","2618-1531","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","San Juan","PR",,,
"LAKE ADMIN. SERVICES  LLC","388839-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","GUAYNABO","PR","Michelle M Mas",,
"IGLESIA MISION BIBLICA FUNDAMENTAL, INC.","18883-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"ASOCIACION DE PESCADORES JUAN SANCHEZ RIVERA INC,","62019-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","YABUCOA","PR","Julio A. Morales","Luis A. Sustache","Juan A. Morales"
"AMBERJACK SOLAR ENERGY LLC","334266-1512","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Foránea","SAN JUAN","PR","GEORGE MORALES","LANCE KULICK","DAVID KULICK"
"IGLESIA CRISTIANA CIUDAD DE BENDICION CORP.","55333-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Humacao","PR",,,
"""COOPERATIVA JUVENIL ESCOLAR D' LAURAS BEAUTY SALON""","391847-1321","ACTIVA","Cooperativa Juvenil","Sin Fines de Lucro","Doméstica","SAN GERMAN","PR","Nagely Garcés","Nagely Garcés","Jayme Vélez"
"CAPARRA INTERNAL MEDICINE SERVICE GROUP, P.S.C.","2106-711","ACTIVA","Corporación Profesional","Con Fines de Lucro","Doméstica","Rio Grande","PR","Evelyn Matta","David Matta","Evelyn Matta"
"LATTE, LLC","308948-1531","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","Bayamón","PR","Jorge A Ortiz","Jorge A Ortiz","Jorge A Ortiz"
"CONCILIO DE VETERANOS Y SOLDADOS PUERTORRIQUEOS, INC.","51639-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","carolina","PR","WILLIAM LOURIDO","william lourido","william lourido"
"MOCOROA U.S. PROPERTIES, INC.","191781-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","Guaynabo","PR","Miguel Mocoroa","MIGUEL MOCOROA","MIGUEL MOCOROA"
"IGLESIA DE AVIVAMIENTO CASA DE ORACION INC.","4996-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"NOSOTROS JEEP CLUB CAYEY 4X4 INC.","58939-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","cayey","PR","JORGE L CARDENALES","CRISTINO GUSMAN","zoraida vergara"
"TOP-MEDIA  L.L.C.","337864-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","GUAYNABO","PR",,"MARCOS R. VELEZ","MARCOS R. VELEZ"
"CARSON LINKS LLC","344946-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","Carolina","PR","Sonia Calo","Carlos Martinez","Sonia Calo"
"COLEGIO DANTE, INC.","10456-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Carolina","PR","Norma  Albino","Norma Serrano","Norma Cintron"
"GENCO GENERAL CONTRACTORS OF PUERTO RICO, CORP.","160550-1011","ACTIVA","Corporación Intima","Con Fines de Lucro","Doméstica","ISABELA","PR","YESENIA CORDERO","VICTOR GONZALEZ","YESENIA CORDERO"
"CRISTO MI ROCA ES EL INC.","52716-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Carolina","PR",,,
"DJJ CONTRACTORS  INC.","390724-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","NAGUABO","PR","Luis Eliezer Parrilla","Jessica Sanabria","Jessica Sanabria"
"RESTAURANT EL MESON GALLEGO, INC.","42566-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","SAN JUAN","PR","MANUEL CEIDE","JESUS CEIDE","JESUS CEIDE"
"IGLESIA EVANGELICA EL PUEBLO DE DIOS, INC.","64297-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Humacao","PR",,,
"ASOCIACION INTERNACIONAL DE CAPELLANES EN ACCION MISIONERA, INC.","43791-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"PROVAL LLC","348126-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","Guaynabo","PR","Casandra E Rivera",,
"QUEBRANTANDO CADENAS LEVANTANDO AL CAIDO INC.","49670-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Luquillo","PR",,,
"COOPERATIVA DE CREDITO DE LOS EMPLEADOS DEL DEPARTAMENTO DEL TRABAJO","91-221","ACTIVA","Cooperativa de Ahorro Y Crédito","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"CAMINO DE SANTIDAD Y PUERTA DE ALABANZA INC.","63663-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Ceiba","PR",,,
"1105 PONCE DE LEON INC.","142303-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","SAN JUAN","PR","ROBERTO CAMINO","ROBERTO CAMINO","ROBERTO CAMINO"
"MINISTERIO DE SHOFAR,LA VOZ DE DIOS TADA, INC.","326498-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Caguas","PR","Rafael A Fonseca","Rafael A Fonseca",
"INMOBILIARIA REALTY, INC.","163823-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","SAN JUAN","PR",,"Miguel A Rodriguez","Miguel A Rodriguez"
"PUERTO RICO SOUTHERN INDUSTRIAL DEVELOPMENT CORPORATION","54104-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"MEDINA & CO. INC.","386997-1011","ACTIVA","Corporación Intima","Con Fines de Lucro","Doméstica","COROZAL","PR","José R Medina",,
"BEIT MESHOBEB-CASA DE RESTAURACION CORPORATION","55483-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Carolina","PR",,,
"COOPERATIVA DE AHORRO Y CREDITO PEPINIANA","18-221","ACTIVA","Cooperativa de Ahorro Y Crédito","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"DR. JAIME LEDESMA C.S.P.","6039-711","ACTIVA","Corporación Profesional","Con Fines de Lucro","Doméstica","Aguada","PR","DR. JAIME LEDESMA","Jaime Ledesma","Jaime Ledesma"
"COOPERATIVA JUVENIL ESCOLAR EL NUEVO AMANECER","90-1321","ACTIVA","Cooperativa Juvenil","Sin Fines de Lucro","Doméstica","San Juan","PR",,,
"WE ARE MOMS , LLC","322845-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","Guaynabo","PR","Karla M Soto",,
"PRIMERA IGLESIA CRISTIANA DAMASCO DE MOCA, PUERTO RICO, INC.","19685-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"THE FITNESS AUTHORITY ""LADY FITNESS & NU GYM CORP.""","100790-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","MAYAGUEZ","PR","MARY ANN SAMBRANA","HECTOR RIERA","MARY ANN SAMBRANA"
"CORPORACION MALCANDO LA DIFERENCIA EN CRISTO","56022-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"IGLESIA CASA CRISTIANA RESTAURACION,  INC.","48355-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"VERDAD PRESENTE CORPORACION","52880-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","San Sebastián","PR",,,
"FUNDACION PRO DERECHOS FUNDAMENTALES  INC.","337593-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","San Juan","PR","Jorge A Torres","Franco Cerminara","Jorge A Torres"
"BIEKE CANNAMED INC.","387354-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","VIEQUES","PR","Abigail Gonzalez","Andrew Wallace","Abigail Gonzalez"
"HACIENDA DON PIPE  CORP.","387386-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","COAMO","PR","Angel Jose Ortiz","Jose M Miranda",
"MINISTERIO PRINCESAS GUERRERAS INC.","59764-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Las Piedras","PR",,,
"ANCHOR HEART LLC","30-1531","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","Vega Alta","PR",,,
"EXPORTACIN E IMPORTACIN DE BIENES Y SERVICIOS HM  CORPORATION","391736-1011","ACTIVA","Corporación Intima","Con Fines de Lucro","Doméstica","SAN JUAN","PR","Héctor J Marrero",,
"MOCA ECO-PARK CORP.","193649-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","VEGA BAKA","PR","Luis A Hernandez","Hector M Caro","Jesus J Pinero"
"PROYECTO FUGA, INC.","62243-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","SAN LORENZO","PR","CARLOS J SANCHEZ","CARLOS J SANCHEZ","CARLOS J SANCHEZ"
"IGLESIA CENTRO DE ADORACION A DIOS, INC. ""SEGUNDA IGLESIA""","43503-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"NEW MILLENIUM CONSTRUCTION CORP.","385584-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","SAN JUAN","PR","JORGE L RIOS","JORGE L RIOS","JORGE L RIOS"
"LUIS PHARMACY #7, INC.","95867-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","GUAYNABO","PR","SILVINO NEGRIN","RICHARD NEGRIN","RICHARD NEGRIN"
